,frame_id,coord,tracklet_id
0,0,[336.51765442 405.09431458],1
1,0,[836.61172485 369.82286072],2
2,0,[525.75549316 317.93218994],3
3,0,[494.3331604  284.64263916],4
4,0,[573.26820374 510.5821991 ],5
5,1,[337.69576787 400.82873459],1
6,1,[829.58094018 360.60924133],2
7,1,[525.4698562  319.68769471],3
8,1,[482.494255  287.3577925],4
9,1,[573.83427391 510.79783038],5
10,2,[336.82514444 403.8821576 ],1
11,2,[833.04172419 351.66849634],2
12,2,[521.85822359 322.61856122],3
13,2,[574.84441447 510.43039159],5
14,3,[344.42432992 407.04578141],1
15,3,[828.55045292 353.70378935],2
16,3,[522.73562929 322.90098749],3
17,3,[581.19337185 513.86167358],5
18,3,[480.92214623 292.25834128],4
19,4,[347.85993276 406.6378009 ],1
20,4,[821.95870688 351.96747846],2
21,4,[523.86909715 325.31642086],3
22,4,[581.67206942 511.15228683],5
23,4,[481.87346211 292.51514443],4
24,5,[345.1788951  403.73113992],1
25,5,[820.67348874 352.03617009],2
26,5,[524.16196559 325.57426256],3
27,5,[580.90609877 510.09747113],5
28,5,[479.87277273 292.54532481],4
29,6,[351.28406075 399.29600246],1
30,6,[821.96204637 353.00521291],2
31,6,[523.8180391  322.21764824],3
32,6,[589.4017982  511.93208963],5
33,6,[479.32592699 288.4466654 ],4
34,7,[352.62080118 398.43150231],1
35,7,[824.54779985 353.65659888],2
36,7,[523.2843582  316.12185327],3
37,7,[589.50248036 508.97185231],5
38,7,[483.13858253 285.94633102],4
39,8,[351.90082348 398.47037897],1
40,8,[825.73312446 354.79126781],2
41,8,[524.21402774 313.98886863],3
42,8,[589.03832572 507.56341985],5
43,8,[487.29938003 284.11008518],4
44,9,[351.76865983 398.57905055],1
45,9,[826.35918053 356.4187245 ],2
46,9,[525.49900476 313.64339825],3
47,9,[591.06668022 506.26126547],5
48,9,[490.99837924 283.30817369],4
49,10,[350.42127199 389.79714223],1
50,10,[826.4583336  356.42302157],2
51,10,[527.58851993 313.86808138],3
52,10,[594.81621388 503.84527549],5
53,10,[488.13650053 284.58738783],4
54,11,[350.51754738 384.15853086],1
55,11,[826.99972414 357.16485757],2
56,11,[528.10531312 311.7408284 ],3
57,11,[596.34456466 503.00826969],5
58,11,[489.20948793 281.56623632],4
59,12,[352.53879185 382.07169561],1
60,12,[826.5558893  351.31014691],2
61,12,[529.96867748 308.45203706],3
62,12,[596.67458532 502.29829713],5
63,12,[485.06693732 278.04025805],4
64,13,[354.66878615 378.83411074],1
65,13,[826.3571422  339.50278242],2
66,13,[530.42640745 302.27233121],3
67,13,[595.81857938 500.38734226],5
68,13,[491.67430998 274.09784703],4
69,14,[355.2477206  380.81437324],1
70,14,[827.26462221 334.08499563],2
71,14,[529.49169206 295.39141427],3
